Table Coordinates: (106.94, 456.55, 107.42, 457.02998), Width: 0.480000000000004, Height: 0.47998000000001184
Table Coordinates: (107.42, 456.55, 177.74, 457.02998), Width: 70.32000000000001, Height: 0.47998000000001184
Table Coordinates: (177.74, 456.55, 178.22, 457.02998), Width: 0.47999999999998977, Height: 0.47998000000001184
Table Coordinates: (248.57, 456.55, 249.04999999999998, 457.02998), Width: 0.47999999999998977, Height: 0.47998000000001184
Table Coordinates: (249.05, 456.55, 319.49, 457.02998), Width: 70.44, Height: 0.47998000000001184
Table Coordinates: (319.49, 456.55, 319.97001, 457.02998), Width: 0.48000999999999294, Height: 0.47998000000001184
Table Coordinates: (390.31, 456.55, 390.78998, 457.02998), Width: 0.47998000000001184, Height: 0.47998000000001184
Table Coordinates: (390.79, 456.55, 461.254, 457.02998), Width: 70.464, Height: 0.47998000000001184
Table Coordinates: (461.26, 456.55, 461.73998, 457.02998), Width: 0.47998000000001184, Height: 0.47998000000001184
Table Coordinates: (106.94, 434.83, 107.42, 456.54999999999995), Width: 0.480000000000004, Height: 21.71999999999997
Table Coordinates: (177.74, 434.83, 178.22, 456.54999999999995), Width: 0.47999999999998977, Height: 21.71999999999997
Table Coordinates: (248.57, 434.83, 249.04999999999998, 456.54999999999995), Width: 0.47999999999998977, Height: 21.71999999999997
Table Coordinates: (319.49, 434.83, 319.97001, 456.54999999999995), Width: 0.48000999999999294, Height: 21.71999999999997
Table Coordinates: (390.31, 434.83, 390.78998, 456.54999999999995), Width: 0.47998000000001184, Height: 21.71999999999997
Table Coordinates: (461.26, 434.83, 461.73998, 456.54999999999995), Width: 0.47998000000001184, Height: 21.71999999999997
Table Coordinates: (106.94, 434.35, 107.42, 434.83001), Width: 0.480000000000004, Height: 0.48000999999999294
Table Coordinates: (107.42, 434.35, 177.74, 434.83001), Width: 70.32000000000001, Height: 0.48000999999999294
Table Coordinates: (177.74, 434.35, 178.22, 434.83001), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (248.57, 434.35, 249.04999999999998, 434.83001), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (249.05, 434.35, 319.49, 434.83001), Width: 70.44, Height: 0.48000999999999294
Table Coordinates: (319.49, 434.35, 319.97001, 434.83001), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (390.31, 434.35, 390.78998, 434.83001), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (390.79, 434.35, 461.254, 434.83001), Width: 70.464, Height: 0.48000999999999294
Table Coordinates: (461.26, 434.35, 461.73998, 434.83001), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (106.94, 412.51, 107.42, 434.34999999999997), Width: 0.480000000000004, Height: 21.839999999999975
Table Coordinates: (106.94, 412.03, 107.42, 412.51000999999997), Width: 0.480000000000004, Height: 0.48000999999999294
Table Coordinates: (106.94, 412.03, 107.42, 412.51000999999997), Width: 0.480000000000004, Height: 0.48000999999999294
Table Coordinates: (107.42, 412.03, 177.74, 412.51000999999997), Width: 70.32000000000001, Height: 0.48000999999999294
Table Coordinates: (177.74, 412.51, 178.22, 434.34999999999997), Width: 0.47999999999998977, Height: 21.839999999999975
Table Coordinates: (177.74, 412.03, 178.22, 412.51000999999997), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (177.74, 412.03, 178.22, 412.51000999999997), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (248.57, 412.51, 249.04999999999998, 434.34999999999997), Width: 0.47999999999998977, Height: 21.839999999999975
Table Coordinates: (248.57, 412.03, 249.04999999999998, 412.51000999999997), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (248.57, 412.03, 249.04999999999998, 412.51000999999997), Width: 0.47999999999998977, Height: 0.48000999999999294
Table Coordinates: (249.05, 412.03, 319.49, 412.51000999999997), Width: 70.44, Height: 0.48000999999999294
Table Coordinates: (319.49, 412.51, 319.97001, 434.34999999999997), Width: 0.48000999999999294, Height: 21.839999999999975
Table Coordinates: (319.49, 412.03, 319.97001, 412.51000999999997), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (319.49, 412.03, 319.97001, 412.51000999999997), Width: 0.48000999999999294, Height: 0.48000999999999294
Table Coordinates: (390.31, 412.51, 390.78998, 434.34999999999997), Width: 0.47998000000001184, Height: 21.839999999999975
Table Coordinates: (390.31, 412.03, 390.78998, 412.51000999999997), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (390.31, 412.03, 390.78998, 412.51000999999997), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (390.79, 412.03, 461.254, 412.51000999999997), Width: 70.464, Height: 0.48000999999999294
Table Coordinates: (461.26, 412.51, 461.73998, 434.34999999999997), Width: 0.47998000000001184, Height: 21.839999999999975
Table Coordinates: (461.26, 412.03, 461.73998, 412.51000999999997), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (461.26, 412.03, 461.73998, 412.51000999999997), Width: 0.47998000000001184, Height: 0.48000999999999294
Table Coordinates: (54.0, 273.53, 54.48, 274.00998), Width: 0.4799999999999969, Height: 0.47998000000001184
Table Coordinates: (54.0, 273.53, 54.48, 274.00998), Width: 0.4799999999999969, Height: 0.47998000000001184
Table Coordinates: (54.48, 273.53, 74.184, 274.00998), Width: 19.704, Height: 0.47998000000001184
Table Coordinates: (74.184, 273.53, 74.664, 274.00998), Width: 0.480000000000004, Height: 0.47998000000001184
Table Coordinates: (74.664, 273.53, 94.224, 274.00998), Width: 19.560000000000002, Height: 0.47998000000001184
Table Coordinates: (94.224, 273.53, 94.70400000000001, 274.00998), Width: 0.480000000000004, Height: 0.47998000000001184
